Радио Ретро FM	https://retro.hostingradio.ru:8043/retro128	0
Радио Ретро FM - 70е	http://retro.hostingradio.ru:8014/retro70-128.mp3	0
Радио Ретро FM - 80е	http://retro.hostingradio.ru:8014/retro80-128.mp3	0
Радио Ретро FM - 90е	http://retro.hostingradio.ru:8014/retro90-128.mp3	0
Радио Ретро Клуб	http://retro.hostingradio.ru:8014/retro90-128.mp3	0
Вечная молодость	http://misato.ru-hoster.com:8037/stream	0
Любимые хиты	https://online.lyubimyehity.ru:1045/stream	0
Легенды FM	http://live.legendy.by:8000/legendyfm	0
Радио Аплюс Relax	https://s.aplus.fm:443/aplus_relax_128	0
Радио Салют FM 90стые	http://stream.salyutfm.ru:8100/stream	0
Radio Relax FM Instrumental	https://stream.relaxfm.ee/instrumental_HD	0
Европа плюс	http://online-1.gkvr.ru:8000/europa_krd_128.aac	0
Наше радио	http://online-1.gkvr.ru:8000/nr_sam_96.aac	0
Радио DFM	http://online-1.gkvr.ru:8000/dfm.aac	0
Русское радио	http://online-1.gkvr.ru:8000/rusradio96.aac	0
1.FM - Chillout Lounge	http://prmstrm.1.fm:8000/chilloutlounge	0
RM FM - Lounge	http://rautemusik-de-hz-fal-stream12.radiohost.de/lounge	0
Radio Big FM - Russia	http://streams.bigfm.de/bigfm-russia-128-mp3	0
Radio Record-80х	http://radiorecord.hostingradio.ru/198096.aacp	0
Radio Record-Ambient	http://radiorecord.hostingradio.ru/ambient96.aacp	0
Радио Серебряный Дождь	http://stream.salyutfm.ru:8100/stream	0
Радио Шансон	http://chanson.hostingradio.ru:8041/chanson256.mp3	0
Радио Ностальжи Россия	https://listen7.myradio24.com:443/alexx333	0
101.ru - Retro	http://retroserver.streamr.ru:8043/retro128	0
101.ru - Boney M.	http://pub0302.101.ru:8000/stream/pro/aac/64/114	0
101.ru Bard songs - Авторская Песня	http://ic6.101.ru:8000/stream/pro/aac/64/35	0
101.ru - Relax FM	https://ic4.101.ru:8000/stream/air/aac/64/200	0
Instrumental_1	http://163.172.77.142:8006/listen.pls?sid=1	0
1000	https://1000melodien.stream.laut.fm:443/1000melodien	0
Instrumentals	https://quincy.torontocast.com:1915/stream	0
Total Instrumental	https://total-instrumental.stream.laut.fm:443/total-instrumental?ref=radiodns	0
Instrumental Journey	https://instrumental-journey.stream.laut.fm:443/instrumental-journey?ref=radiodns	0
Hits on Guitar	https://radio.streemlion.com:2315/stream	0
Instrumental Radio	https://listen.openstream.co:443/4097/audio	0
RMNinstrumental	http://stream.instrumentalhits.de:8060/	0
horizont	https://s1.slotex.pl:7328/stream/1/	0
RADIO ESTILO LEBLON	https://us4.internet-radio.com:443/proxy/radioestiloleblon?mp=/stream;	0
Psyndora Chillout	https://cast.magicstreams.gr:443/sc/psychill/stream	0
Radio Play Emotions	http://5.39.82.157:8054/listen.pls?sid=1	0
Radio Relax	https://online.radiorelax.ua:443/RadioRelax_Instrumental_HD	0
Deep Planet on MixLive	http://2.58.194.54:8852/listen.pls?sid=1	0
Peaceful Currents Radio	https://cast1.torontocast.com:2865/stream	0
Relax FM Latino	https://pub0302.101.ru:8443/stream/trust/mp3/128/265	0
Radio Caprice - Instrumental Music	http://79.120.77.11:8002/instrumental	0
Radio Caprice - Acoustic Guitar	http://79.120.39.202:8002/acousticguitar	0
Radio Caprice - Russian Pop music 80-90's	http://79.120.77.11:8002/80ru	0
Radio Caprice - Pop Music USSR	http://79.120.77.11:8000/ussr	0
Radio Caprice - Romantic Music Collection	http://79.120.39.202:8002/romantic	0
Radio Caprice - Relaxation Music	http://79.120.39.202:8000/relaxation	0
Radio Caprice - Easy Listening	http://79.111.14.76:8002/easylistening	0
Radio Caprice - Instrumental Rock	http://79.120.39.202:8002/instrumentalrock	0
Instrumental Orchestral Hits	https://stream.laut.fm:443/instrumental-orchestral-hits	0
Музыка без слов	https://securestreams6.autopo.st:2130/instrumental	0
Gold Instrumental	https://centova.svdns.com.br:19373/stream/2/	0
RadioGora - Oldies	http://listen.radiogora.ru:8000/oldies128	0
GotRadio - Guitar Genius	http://pureplay.cdnstream1.com:80/6018_128.mp3	0
Beautiful Instrumental	http://hydra.cdnstream.com:80/1822_128	0
Радио СССР	https://listen3.myradio24.com:443/ussr	0
DONAT FM	https://c6.radioboss.fm:18098/stream	0
Танцы по-русски	http://dor2server.streamr.ru:8000/dorognoe1945.mp3	0
Дискотека СССР	http://pub0302.101.ru:8000/stream/pro/aac/64/144?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpcCI6IjUuMTguMjQ4Ljk4IiwidXNlcmFnZW50IjoiTW96	0
Рекорд 80х	http://radiorecord.hostingradio.ru/198096.aacp	0
Radio Record-Нафталин FM	http://radiorecord.hostingradio.ru/naft96.aacp	0
Radio Record-Супердискотека 90-х	http://radiorecord.hostingradio.ru/sd9064.aacp	0
Ретроклуб Инструментал	https://retroclub.hostingradio.ru/retroclubdbl224.aacp	0
Высоцкий	https://rr-vysockij.hostingradio.ru/vysockij96.aacp	0
freq	http://hd.stream.frequence3.net/frequence3.flac	0
World/Eclectic Mix	http://stream.radioparadise.com/eclectic-flac	0
metadata	https://stream.radioparadise.com/global-flacm	0
Radio Paradise	http://stream-dc1.radioparadise.com/rp_96m.ogg	0
